,SimpleNN_cbow,DeepNN_cbow,SimpleNN_skipgram,DeepNN_skipgram,SimpleNN_tfidf,DeepNN_tfidf
accuracy,0.3463636363636364,0.4481818181818182,0.4863636363636364,0.5145454545454545,0.59,0.5909090909090909
precision,0.6082816284767659,0.6199626270008378,0.7579280736581007,0.681666075095793,0.8184785219697948,0.7604597959371816
recall,0.38335607094133695,0.465893587994543,0.5347885402455662,0.5470668485675307,0.6841746248294679,0.650068212824011
f1,0.41243466417192426,0.5160163434005325,0.5891901781001989,0.5918377521454005,0.7343037255882834,0.6957539879575964
